Epoch 0/199
----------
model_train
413/3126,train_loss:19.796968460083008
414/3126,train_loss:19.656646728515625
415/3126,train_loss:18.767084121704102
416/3126,train_loss:19.218776702880859
417/3126,train_loss:19.736600875854492
418/3126,train_loss:19.872158050537109
419/3126,train_loss:20.234725952148438
420/3126,train_loss:19.429702758789062
421/3126,train_loss:19.281654357910156
422/3126,train_loss:20.284421920776367
423/3126,train_loss:19.916006088256836
424/3126,train_loss:20.299724578857422
425/3126,train_loss:20.228464126586914
426/3126,train_loss:19.861858367919922
427/3126,train_loss:20.016309738159180
428/3126,train_loss:19.827482223510742
429/3126,train_loss:19.480869293212891
430/3126,train_loss:19.749406814575195
431/3126,train_loss:20.177930831909180
432/3126,train_loss:19.561061859130859
433/3126,train_loss:19.773126602172852
434/3126,train_loss:19.730245590209961
435/3126,train_loss:19.386878967285156
436/3126,train_loss:20.037530899047852
437/3126,train_loss:19.215505599975586
438/3126,train_loss:19.959968566894531
439/3126,train_loss:20.346931457519531
440/3126,train_loss:19.466241836547852
441/3126,train_loss:19.431516647338867
442/3126,train_loss:19.675813674926758
443/3126,train_loss:20.191766738891602
444/3126,train_loss:19.633117675781250
445/3126,train_loss:20.396751403808594
446/3126,train_loss:19.589996337890625
447/3126,train_loss:20.557838439941406
448/3126,train_loss:19.321388244628906
449/3126,train_loss:19.605474472045898
450/3126,train_loss:19.416238784790039
451/3126,train_loss:19.428701400756836
452/3126,train_loss:20.197347640991211
453/3126,train_loss:19.804044723510742
454/3126,train_loss:20.373283386230469
455/3126,train_loss:20.232757568359375
456/3126,train_loss:19.232543945312500
457/3126,train_loss:19.925897598266602
458/3126,train_loss:20.231731414794922
459/3126,train_loss:19.722881317138672
460/3126,train_loss:19.992574691772461
461/3126,train_loss:19.888509750366211
462/3126,train_loss:20.127830505371094
463/3126,train_loss:19.993772506713867
464/3126,train_loss:19.565940856933594
465/3126,train_loss:19.108558654785156
466/3126,train_loss:19.515329360961914
467/3126,train_loss:19.744060516357422
468/3126,train_loss:20.323028564453125
469/3126,train_loss:19.386676788330078
470/3126,train_loss:20.648315429687500
471/3126,train_loss:19.709661483764648
472/3126,train_loss:19.081220626831055
473/3126,train_loss:20.279464721679688
474/3126,train_loss:19.258258819580078
475/3126,train_loss:19.382329940795898
476/3126,train_loss:19.764127731323242
477/3126,train_loss:19.864540100097656
478/3126,train_loss:19.150686264038086
479/3126,train_loss:20.274919509887695
480/3126,train_loss:19.218042373657227
481/3126,train_loss:19.923931121826172
482/3126,train_loss:20.040130615234375
483/3126,train_loss:19.311452865600586
484/3126,train_loss:19.972034454345703
485/3126,train_loss:19.173177719116211
486/3126,train_loss:19.219379425048828
487/3126,train_loss:18.769790649414062
488/3126,train_loss:19.136695861816406
489/3126,train_loss:20.058681488037109
490/3126,train_loss:19.738546371459961
491/3126,train_loss:19.869703292846680
492/3126,train_loss:19.857229232788086
493/3126,train_loss:19.369644165039062
494/3126,train_loss:19.345855712890625
495/3126,train_loss:19.686923980712891
496/3126,train_loss:19.703279495239258
497/3126,train_loss:19.755249023437500
498/3126,train_loss:19.618829727172852
499/3126,train_loss:19.870197296142578
500/3126,train_loss:20.573091506958008
501/3126,train_loss:19.675325393676758
502/3126,train_loss:19.343421936035156
503/3126,train_loss:19.962726593017578
504/3126,train_loss:19.633779525756836
505/3126,train_loss:19.940912246704102
506/3126,train_loss:18.903467178344727
507/3126,train_loss:19.651327133178711
508/3126,train_loss:20.340360641479492
509/3126,train_loss:19.137458801269531
510/3126,train_loss:19.130531311035156
511/3126,train_loss:19.966125488281250
512/3126,train_loss:19.394420623779297
513/3126,train_loss:19.381589889526367
514/3126,train_loss:20.232891082763672
515/3126,train_loss:19.544136047363281
516/3126,train_loss:19.897243499755859
517/3126,train_loss:19.337652206420898
518/3126,train_loss:19.721378326416016
519/3126,train_loss:20.037176132202148
520/3126,train_loss:18.877582550048828
521/3126,train_loss:19.557157516479492
522/3126,train_loss:19.924556732177734
523/3126,train_loss:19.858070373535156
524/3126,train_loss:19.687948226928711
525/3126,train_loss:19.448308944702148
526/3126,train_loss:19.414951324462891
527/3126,train_loss:19.714334487915039
528/3126,train_loss:20.247404098510742
529/3126,train_loss:19.021949768066406
530/3126,train_loss:20.162012100219727
531/3126,train_loss:19.983438491821289
532/3126,train_loss:19.183509826660156
533/3126,train_loss:19.548938751220703
534/3126,train_loss:19.772518157958984
535/3126,train_loss:19.482353210449219
536/3126,train_loss:19.391605377197266
537/3126,train_loss:19.076309204101562
538/3126,train_loss:19.145355224609375
539/3126,train_loss:19.789960861206055
540/3126,train_loss:18.879514694213867
541/3126,train_loss:19.693813323974609
542/3126,train_loss:19.885828018188477
543/3126,train_loss:20.031595230102539
544/3126,train_loss:19.388296127319336
545/3126,train_loss:19.072689056396484
546/3126,train_loss:19.899305343627930
547/3126,train_loss:19.476612091064453
548/3126,train_loss:19.717519760131836
549/3126,train_loss:18.941133499145508
550/3126,train_loss:18.722581863403320
551/3126,train_loss:18.914915084838867
552/3126,train_loss:19.144449234008789
553/3126,train_loss:18.732034683227539
554/3126,train_loss:19.454343795776367
555/3126,train_loss:18.990587234497070
556/3126,train_loss:18.866441726684570
557/3126,train_loss:19.545610427856445
558/3126,train_loss:19.560859680175781
559/3126,train_loss:19.665424346923828
560/3126,train_loss:19.095949172973633
561/3126,train_loss:19.511499404907227
562/3126,train_loss:19.090311050415039
563/3126,train_loss:19.487539291381836
564/3126,train_loss:18.964189529418945
565/3126,train_loss:19.863784790039062
566/3126,train_loss:18.864662170410156
567/3126,train_loss:19.201904296875000
568/3126,train_loss:19.345859527587891
569/3126,train_loss:18.984819412231445
570/3126,train_loss:19.518827438354492
571/3126,train_loss:19.085256576538086
572/3126,train_loss:19.120933532714844
573/3126,train_loss:19.050619125366211
574/3126,train_loss:18.955181121826172
575/3126,train_loss:19.442020416259766
576/3126,train_loss:18.914718627929688
577/3126,train_loss:18.703516006469727
578/3126,train_loss:19.730667114257812
579/3126,train_loss:19.229293823242188
580/3126,train_loss:19.184982299804688
581/3126,train_loss:19.286857604980469
582/3126,train_loss:19.905878067016602
583/3126,train_loss:19.239274978637695
584/3126,train_loss:19.338258743286133
585/3126,train_loss:19.899318695068359
586/3126,train_loss:19.883119583129883
587/3126,train_loss:19.269422531127930
588/3126,train_loss:19.219062805175781
589/3126,train_loss:19.563930511474609
590/3126,train_loss:18.852489471435547
591/3126,train_loss:19.368938446044922
592/3126,train_loss:18.509172439575195
593/3126,train_loss:19.672710418701172
594/3126,train_loss:19.473718643188477
595/3126,train_loss:19.711549758911133
596/3126,train_loss:19.404733657836914
597/3126,train_loss:19.066898345947266
598/3126,train_loss:20.168024063110352
599/3126,train_loss:19.890069961547852
600/3126,train_loss:19.999166488647461
601/3126,train_loss:19.596975326538086
602/3126,train_loss:19.883182525634766
603/3126,train_loss:19.619304656982422
604/3126,train_loss:18.946462631225586
605/3126,train_loss:19.631023406982422
606/3126,train_loss:19.710929870605469
607/3126,train_loss:19.014577865600586
608/3126,train_loss:19.887102127075195
609/3126,train_loss:19.294759750366211
610/3126,train_loss:18.883068084716797
611/3126,train_loss:19.715450286865234
612/3126,train_loss:18.923168182373047
613/3126,train_loss:19.198610305786133
614/3126,train_loss:19.162492752075195
615/3126,train_loss:19.616096496582031
616/3126,train_loss:19.171400070190430
617/3126,train_loss:18.895267486572266
618/3126,train_loss:20.391511917114258
619/3126,train_loss:19.364124298095703
620/3126,train_loss:19.072429656982422
621/3126,train_loss:19.355810165405273
622/3126,train_loss:19.415117263793945
623/3126,train_loss:19.701576232910156
624/3126,train_loss:19.244379043579102
625/3126,train_loss:19.622156143188477
626/3126,train_loss:18.861467361450195
627/3126,train_loss:18.216823577880859
628/3126,train_loss:19.820676803588867
629/3126,train_loss:19.066608428955078
630/3126,train_loss:19.101140975952148
631/3126,train_loss:19.195896148681641
632/3126,train_loss:18.865646362304688
633/3126,train_loss:19.182937622070312
634/3126,train_loss:18.979385375976562
635/3126,train_loss:19.662029266357422
636/3126,train_loss:18.862857818603516
637/3126,train_loss:19.289436340332031
638/3126,train_loss:18.103269577026367
639/3126,train_loss:18.473962783813477
640/3126,train_loss:18.677114486694336
641/3126,train_loss:19.207304000854492
642/3126,train_loss:19.265571594238281
643/3126,train_loss:18.467420578002930
644/3126,train_loss:18.763643264770508
645/3126,train_loss:19.454488754272461
646/3126,train_loss:18.886938095092773
647/3126,train_loss:19.322576522827148
648/3126,train_loss:19.055440902709961
649/3126,train_loss:19.308891296386719
650/3126,train_loss:18.916910171508789
651/3126,train_loss:19.767322540283203
652/3126,train_loss:19.337959289550781
653/3126,train_loss:19.190385818481445
654/3126,train_loss:19.231645584106445
655/3126,train_loss:18.726043701171875
656/3126,train_loss:19.495027542114258
657/3126,train_loss:19.423011779785156
658/3126,train_loss:18.826719284057617
659/3126,train_loss:20.014835357666016
660/3126,train_loss:19.106069564819336
661/3126,train_loss:19.664213180541992
662/3126,train_loss:18.483810424804688
663/3126,train_loss:18.944515228271484
664/3126,train_loss:19.687129974365234
665/3126,train_loss:18.585556030273438
666/3126,train_loss:19.334493637084961
667/3126,train_loss:18.991144180297852
668/3126,train_loss:18.744247436523438
669/3126,train_loss:18.466394424438477
670/3126,train_loss:19.135004043579102
671/3126,train_loss:19.502689361572266
672/3126,train_loss:19.547183990478516
673/3126,train_loss:18.859178543090820
674/3126,train_loss:18.338254928588867
675/3126,train_loss:18.949983596801758
676/3126,train_loss:18.790775299072266
677/3126,train_loss:18.223463058471680
678/3126,train_loss:20.056711196899414
679/3126,train_loss:19.199575424194336
680/3126,train_loss:18.785972595214844
681/3126,train_loss:19.074392318725586
682/3126,train_loss:20.334976196289062
683/3126,train_loss:19.684198379516602
684/3126,train_loss:19.377304077148438
685/3126,train_loss:18.926206588745117
686/3126,train_loss:18.304523468017578
687/3126,train_loss:18.997186660766602
688/3126,train_loss:18.182994842529297
689/3126,train_loss:19.563007354736328
690/3126,train_loss:19.597736358642578
691/3126,train_loss:19.623407363891602
692/3126,train_loss:19.077844619750977
693/3126,train_loss:19.424383163452148
694/3126,train_loss:19.439794540405273
695/3126,train_loss:19.319295883178711
